id,district,city,location,type,lat,lng,description
1,NORTHERN POLICE DISTRICT,CALOOCAN CITY,PCP 4 AREA  - QUIRINO HIGHWAY COR. MALARIA RD BOUNDARY OF CALOOCAN AND BULACAN,RoadClosure,14.769163,121.080297,
2,NORTHERN POLICE DISTRICT,CALOOCAN CITY,PCP 3 – PHASE 7C DELA COSTA HOMES BOUNDARY OF CALOOCAN AND MUSON BULACAN,RoadClosure,14.768952,121.080493,
3,NORTHERN POLICE DISTRICT,CALOOCAN CITY,PCP 3 - PHASE 9 BOUNDARY OF EVERGREEN VILL. BRGY. GAYA-GAYA SJ BULACAN,RoadClosure,14.776913,121.045104,Not verified; Assumed at intersection of Langit Rd and Old Zabarte
4,NORTHERN POLICE DISTRICT,CALOOCAN CITY,PCP 3 - PHASE 10 CALOOCAN AND BULACAN BRIDGE,RoadClosure,14.784283,121.030446,Not verified
5,NORTHERN POLICE DISTRICT,CALOOCAN CITY,PCP 6 – BANKERS VILL. GATE 3 BOUNDARY OF CALOOCAN AND MEYCAUYAN,RoadClosure,14.765149,121.024169,Not verified
6,NORTHERN POLICE DISTRICT,CALOOCAN CITY,PCP 6 – TIERRA NOVA SUBD 1 BOUNDARY OF CALOOCAN AND MEYCAUYAN,RoadClosure,14.757670000000001,121.010819,Not verified
7,NORTHERN POLICE DISTRICT,CALOOCAN CITY,PCP 6 – TIERRA NOVA SUBD 2 BOUNDARY OF CALOOCAN AND MEYCAUYAN,RoadClosure,14.756728,121.008396,Not verified
8,NORTHERN POLICE DISTRICT,CALOOCAN CITY,PCP 6 – TIERRA NOVA SUBD 3 BOUNDARY OF CALOOCAN AND MEYCAUYAN,RoadClosure,14.758203,120.998104,Not verified
9,NORTHERN POLICE DISTRICT,CALOOCAN CITY,PCP 6 – GUBAT SA SIUDAD BOUNDARY OF CALOOCAN AND MEYCAUYAN,RoadClosure,14.760349,121.017285,Not verified
10,NORTHERN POLICE DISTRICT,CALOOCAN CITY,PCP 6 – SHELTERVILLE BRGY 171 BOUNDARY OF CALOOCAN AND MEYCAUYAN,RoadClosure,14.757693,121.01067,Not verified
11,NORTHERN POLICE DISTRICT,MALABON CITY,DON BASILIO BLVD BRGY. DAMPALIT MALABON,RoadClosure,14.688935,120.945646,Not verified
12,NORTHERN POLICE DISTRICT,MALABON CITY,PANGHULO ROAD MALABON,RoadClosure,14.68919,120.953964,Not verified
13,NORTHERN POLICE DISTRICT,VALENZUELA CITY,NLEX (ENTRANCE),EntryExit,14.768614,120.967557,Not verified
14,NORTHERN POLICE DISTRICT,VALENZUELA CITY,MC ARTHUR HIGHWAY MALANDAY BOUNDARY OF VALENZUELA AND MEYCAUYAN (EXIT),EntryExit,14.720977,120.958624,Not verified
15,NORTHERN POLICE DISTRICT,VALENZUELA CITY,PUNTURIN BOUNDARY OF LIBTONG MEYCAUYAN (PRIMARY),RoadClosure,14.739023,120.981349,Not verified
16,NORTHERN POLICE DISTRICT,VALENZUELA CITY,NLEX HARBORLINK (MINDANAO AVE MM EXIT),RoadClosure,14.645016,120.976373,Not verified
17,NORTHERN POLICE DISTRICT,VALENZUELA CITY,LAWANG BATO EMERGENCY EXIT TO NLEX,RoadClosure,14.723226,120.985738,Not verified
18,NORTHERN POLICE DISTRICT,VALENZUELA CITY,"VIENTE REALES SKYLINE EXIT 10 MEYCAUYAN, BULACAN",RoadClosure,14.713428,120.970307,Not verified
19,NORTHERN POLICE DISTRICT,VALENZUELA CITY,"VIENTE REALES TUGATOG EXIT TO MEYCAUYAN, BULACAN",RoadClosure,14.72638,120.960827,Not verified
20,NORTHERN POLICE DISTRICT,VALENZUELA CITY,"LINGUNAN CIUDAD GRANDE EXIT TO MEYCAUYAN, BULACAN",RoadClosure,14.72475,120.975084,Not verified
21,NORTHERN POLICE DISTRICT,VALENZUELA CITY,LINGUNAN MARYLAND SUBD. EXIT TO MEYCAUYAN,RoadClosure,14.722112,120.984897,Not verified
22,NORTHERN POLICE DISTRICT,VALENZUELA CITY,NLEX LINGUNAN EXIT GOING TO VALENZUELA,RoadClosure,14.707991,120.992384,Not verified
23,NORTHERN POLICE DISTRICT,VALENZUELA CITY,LAWANG BATO NLEX OVERPASS NEAR MEMORIAL GARDENS,RoadClosure,14.730247,120.981078,Along NLEX?
24,NORTHERN POLICE DISTRICT,VALENZUELA CITY,NLEX PASO DE BLAS ENTRANCE,RoadClosure,14.708773,120.99342,Assumed nera Puregold Pase de Blas
25,NORTHERN POLICE DISTRICT,VALENZUELA CITY,WAWANG PULO BOUNDARY OF OBANDO BULACAN,RoadClosure,14.692325,120.951449,Assumed along Panghulo Road
26,QUEZON CITY POLICE DISTRICT,QUEZON CITY,"PAYATAS ROAD, QUEZON CITY – RODRIGUEZ RIZAL BOUNDARY",RoadClosure,14.729236,121.119537,
27,QUEZON CITY POLICE DISTRICT,QUEZON CITY,SAN MATEO ROAD QUEZON CITY,RoadClosure,14.679904,121.10925,
28,SOUTHERN POLICE DISTRICT,MUNTINLUPA,SUSANA HEIGHTS,EntryExit,14.373623,121.037951,Assumed near the bridge
29,SOUTHERN POLICE DISTRICT,LAS PINAS,DAANG HARI,EntryExit,14.398393,121.011475,Not verified
30,SOUTHERN POLICE DISTRICT,LAS PINAS,ZAPOTE ROAD,EntryExit,14.440501,121.000998,Not verified
31,SOUTHERN POLICE DISTRICT,PARANAQUE,ROXAS BLVD COR. MIA ROAD,EntryExit,14.517452,120.993322,
32,SOUTHERN POLICE DISTRICT,PARANAQUE,MACAPAGAL BLVD. COR. PACIFIC AVE,RoadClosure,14.505896,120.987696,
33,SOUTHERN POLICE DISTRICT,MUNTINLUPA CITY,"TUNASAN-SAN PEDRO BOUNDARY, BRGY TUNASAN, MUNTINLUPA CITY",RoadClosure,14.371659,121.042484,Not verified; Is this along the expressway
34,SOUTHERN POLICE DISTRICT,MUNTINLUPA CITY,"TUNASAN-CUYAB BOUNDARY, ARANDIA ST, BRGY TUNASAN, MUNTINLUPA CITY",RoadClosure,14.376153,121.053934,
35,SOUTHERN POLICE DISTRICT,MUNTINLUPA CITY,"IN FRONT OF PARCO BELLO, VICTORIA HOMES, BRGY TUNASAN, MUNTINLUPA CITY",RoadClosure,14.353547,121.009701,Not verified
36,SOUTHERN POLICE DISTRICT,MUNTINLUPA CITY,"BIAZON ROAD CORNER MCX ROAD, BRGY POBLACION, MUNTINLUPA CITY",RoadClosure,14.377129,121.02317,Not verified
37,SOUTHERN POLICE DISTRICT,MUNTINLUPA CITY,"SLEX TOLLGATE EXIT (WESTBOUND), EAST SERVICE ROAD, BRGY ALABANG, MUNTINLUPA CITY",RoadClosure,14.422127,121.045732,
38,SOUTHERN POLICE DISTRICT,MUNTINLUPA CITY,"IN FRONT PETRON GAS STATION (SOUTHBOUND), ALABANG VIADUCT, MUNTINLUPA CITY",RoadClosure,14.414535,121.045635,
39,SOUTHERN POLICE DISTRICT,MUNTINLUPA CITY,"SUCAT-TAGUIG BOUNDARY, DR. A BUNYI ST, BRGY SUCAT, MUNTINLUPA CITY",RoadClosure,14.466328,121.056126,
40,SOUTHERN POLICE DISTRICT,MUNTINLUPA CITY,"MAJOR J. POSADAS AVENUE CORNER WEST SERVICE ROAD, BRGY SUCAT, MUNTINLUPA CITY",RoadClosure,14.456319,121.045079,
41,SOUTHERN POLICE DISTRICT,MUNTINLUPA CITY,"IN FRONT OF TOTAL GAS STATION, DON JESUS BLVD CORNER WEST SERVICE ROAD, BRGY CUPANG, MUNTINLUPA CITY",RoadClosure,14.434084,121.045191,
42,SOUTHERN POLICE DISTRICT,MUNTINLUPA CITY,"MUNTINLUPA-LAS PIÑAS BOUNDARY, ALABANG-ZAPOTE ROAD, BRGY AYALA ALABANG, MUNTINLUPA CITY",RoadClosure,14.428523,121.018743,
43,SOUTHERN POLICE DISTRICT,MUNTINLUPA CITY,"IN FRONT OF POLICE OUTPOST, ALONG INVESTMENT DRIVE CORNER COMMERCE AVENUE, BRGY AYALA ALABANG, MUNTINLUPA CITY",RoadClosure,14.423501,121.023884,
44,SOUTHERN POLICE DISTRICT,PARANAQUE CITY,ROXAS BLVD NEAR FOOTBRIDGE BRGY BACLARAN,RoadClosure,14.532966,120.992995,
45,SOUTHERN POLICE DISTRICT,PARANAQUE CITY,AIRPORT ROAD IN FRONT OF UCPB BRGY BACLARAN,RoadClosure,14.527327,120.997772,
46,SOUTHERN POLICE DISTRICT,PARANAQUE CITY,"BRADCO AVE CORNER DIOKNO AVE, BRGY TAMBO",RoadClosure,14.528664,120.984721,
47,SOUTHERN POLICE DISTRICT,PARANAQUE CITY,NAIA AVENUE NEAR PASCOR DRIVE BRGY. STO NIÑO,RoadClosure,14.506218,121.000966,
48,SOUTHERN POLICE DISTRICT,PARANAQUE CITY,PACIFIC AVE CORNER MACAPAGAL BLVD BRGY DON GALO,RoadClosure,14.505845,120.987728,
49,SOUTHERN POLICE DISTRICT,PARANAQUE CITY,C5 ROAD CORNER KAINGIN ROAD,RoadClosure,14.496245,121.000351,
50,SOUTHERN POLICE DISTRICT,PARANAQUE CITY,"QUIRINO AVE CORNER VICTOR MEDINA, BRGY SAN DIONISIO",RoadClosure,14.492117,120.987801,
51,SOUTHERN POLICE DISTRICT,PARANAQUE CITY,C5 ROAD BOUNDARY OF LAS PIÑAS AND PARAÑAQUE,RoadClosure,14.481068,120.986841,
52,SOUTHERN POLICE DISTRICT,PARANAQUE CITY,CANAYNAY AVE IN FRONT OF CALTEX BRGY SAN DIONISIO,RoadClosure,14.473899,120.999795,
53,SOUTHERN POLICE DISTRICT,PARANAQUE CITY,SUCAT INTERCHANGE,RoadClosure,14.453683,121.045499,Not verified
54,SOUTHERN POLICE DISTRICT,PARANAQUE CITY,DOÑA SOLEDAD AVE NEAR SKYWAY ENTRANCE/EXIT,RoadClosure,14.484897,121.039309,
55,SOUTHERN POLICE DISTRICT,PARANAQUE CITY,"WEST SERVICE ROAD CORNER MARCELO AVE., MARCELO GREEN",RoadClosure,14.475885,121.04503,
56,SOUTHERN POLICE DISTRICT,PARANAQUE CITY,"WEST SERVICE ROAD IN FRONT OF ROBINSON, BRGY MERVILLE",RoadClosure,14.50011,121.038344,
57,SOUTHERN POLICE DISTRICT,PARANAQUE CITY,PNR BICUTAN INTERCHANGE,RoadClosure,14.487287,121.046026,
58,SOUTHERN POLICE DISTRICT,LAS PINAS CITY,"ALONG C5 ROAD EXTENSION, MANUYO UNO, LAS PIÑAS CITY (LAS PIÑAS CITY AND PARAÑAQUE BOUNDARY)",RoadClosure,14.479398,120.985997,Not verified
59,SOUTHERN POLICE DISTRICT,LAS PINAS CITY,"ALONG PADRE DIEGO CERA, AVE. MANUYO UNO, LAS PIÑAS CITY (LAS PIÑAS CITY AND PARAÑAQUE BOUNDARY)",RoadClosure,14.485799,120.985173,
60,SOUTHERN POLICE DISTRICT,LAS PINAS CITY,"ZAPOTE VIADUCT, BRGY. ZAPOTE, LAS PIÑAS CITY (LAS PIÑAS CITY AND CAVITE BOUNDARY)",RoadClosure,14.465292,120.96833,
61,SOUTHERN POLICE DISTRICT,LAS PINAS CITY,"ALONG CANAYNAY AVE. MANUYO DOS, LAS PIÑAS CITY (LAS PIÑAS CITY AND PARAÑAQUE BOUNDARY)",RoadClosure,14.466436,120.996353,Not verified
62,SOUTHERN POLICE DISTRICT,LAS PINAS CITY,"RIVERDRIVE, BFRV BRGY. TALON DOS, LAS PIÑAS CITY (LAS PIÑAS CITY AND CAVITE BOUNDARY)",RoadClosure,14.43789,120.990891,Not verified
63,SOUTHERN POLICE DISTRICT,LAS PINAS CITY,"MARCOS ALVAREZ AVENUE, TALON SINGKO, LAS PIÑAS CITY (LAS PIÑAS CITY AND CAVITE BOUNDARY)",RoadClosure,14.425719,121.001542,Not verified
64,EASTERN POLICE DISTRICT,MARIKINA CITY,"MAKABAYAN ST., COR JP RIZAL BRGY NANGKA",EntryExit,14.672926,121.109291,
65,EASTERN POLICE DISTRICT,MARIKINA CITY,"PAMBULI ST., COR MARCOS HIGHWAY (U-TURN) BRGY SAN ROQUE",EntryExit,14.621154,121.104751,
66,EASTERN POLICE DISTRICT,MARIKINA CITY,ARMSCOR AVE. COR SAMPAGUITA ST. FORTUNE (TO SAN MATEO),RoadClosure,14.665266,121.126632,Not verified
67,EASTERN POLICE DISTRICT,MARIKINA CITY,"DELOS SANTOS AVE. MONTEREY HILLS, FORTUNE (TO SAN MATEO)",RoadClosure,14.65382,121.133962,
68,EASTERN POLICE DISTRICT,MARIKINA CITY,LILAC ST COR OLIVE ST. CONCEPCION DOS (TO ANTIPOLO),RoadClosure,14.637059,121.121583,
69,EASTERN POLICE DISTRICT,MARIKINA CITY,"OLIVE EXT FOOTBRIDGE, CONCEPCION DOS (TO ANTIPOLO)",RoadClosure,14.636974,121.121531,
70,EASTERN POLICE DISTRICT,MARIKINA CITY,"SUMULONG HI- WAY COR KATIPUNAN ACCESS ROAD , STO NINO (TO ANTIPOLO)",RoadClosure,14.633663,121.108484,
71,EASTERN POLICE DISTRICT,MARIKINA CITY,MARCOS HIGHWAY INFRONT OF BUENVIAJE BLDG BRGY SAN ROQUE,RoadClosure,14.620940000000001,121.103572,
72,EASTERN POLICE DISTRICT,MARIKINA CITY,SAN MIGUEL PHASE 3 BRGY FORTUNE,RoadClosure,14.654034,121.133784,Not verified
73,EASTERN POLICE DISTRICT,MARIKINA CITY,"CHAMPACA ST., COR PONTE VERDE DRIVE BRGY FORTUNE",RoadClosure,14.651619,121.12973,
74,EASTERN POLICE DISTRICT,MARIKINA CITY,"PANORAMA ST., COR WACO ST., BRGY CONCEPCION DOS",RoadClosure,14.639259,121.127237,
75,EASTERN POLICE DISTRICT,MARIKINA CITY,"PANORAMA ST., COR IGNATIUS ST., BRGY CONCEPCION DOS",RoadClosure,14.638059,121.123033,
76,EASTERN POLICE DISTRICT,MARIKINA CITY,"KATIPUNAN ST., COR TANGERINE ST., CONCEPCION DOS",RoadClosure,14.637234,121.108883,
77,EASTERN POLICE DISTRICT,MARIKINA CITY,"CHESNUT ST., COR GOSPEL ST., BRGY SAN ROQUE",RoadClosure,14.626045,121.103863,
78,EASTERN POLICE DISTRICT,PASIG CITY,"EAST BANK ROAD, BRGY. STA LUCIA (TO TAYTAY)",EntryExit,14.581637,121.097761,
79,EASTERN POLICE DISTRICT,PASIG CITY,ORTIGAS AVE EXT. BRGY. STA LUCIA (TO ANTIPOLO/TAYTAY),EntryExit,14.58824,121.106521,
80,EASTERN POLICE DISTRICT,PASIG CITY,"KAGINHAWAAN ST., COR FELIX AVE., MAGGAHAN",RoadClosure,14.60477,121.105281,
81,EASTERN POLICE DISTRICT,PASIG CITY,GREEN PARK GATE FELIX AVE DELA PAZ,RoadClosure,14.615303,121.102051,
82,EASTERN POLICE DISTRICT,PASIG CITY,"GREENWOOD AVE., PINAGBUHATAN",RoadClosure,14.562418,121.098011,
83,EASTERN POLICE DISTRICT,PASIG CITY,"R THADEUS ST., MRV, STA LUCIA",RoadClosure,14.578784,121.10687,
84,EASTERN POLICE DISTRICT,PASIG CITY,"WEST BANK ROAD, BRGY. MAYBUNGA (TO TAYTAY)",RoadClosure,14.578153,121.097081,
85,EASTERN POLICE DISTRICT,PASIG CITY,"A. SANDOVAL CORNER EUSEBIO AVE, BRGY. PINAGBUHATAN (TO TAYTAY)",RoadClosure,14.543785,121.106118,
86,EASTERN POLICE DISTRICT,PASIG CITY,EUSEBIO AVE COR C6 ROAD BRGY. PINAGBUHATAN (TO TAYTAY),RoadClosure,14.534778,121.104224,
87,EASTERN POLICE DISTRICT,PASIG CITY,"TRAMO RD., STA LUCIA",RoadClosure,14.584645,121.100959,
